Index	Length	Host	Port	Strip
0	6	10.0.0.30	7089	1
1	8.61	10.0.0.30	7089	2
2	11.27	10.0.0.30	7089	3
3	13.96	10.0.0.30	7089	4
4	16.7	10.0.0.30	7089	5
5	19.48	10.0.0.30	7089	6
6	22.32	10.0.0.30	7089	7
7	25.22	10.0.0.30	7089	8
8	28.19	10.0.0.30	7089	9
9	31.23	10.0.0.30	7089	10
10	34.36	10.0.0.30	7089	11
11	37.59	10.0.0.30	7089	12
12	40.94	10.0.0.30	7089	13
13	44.43	10.0.0.30	7089	14
14	48.09	10.0.0.30	7089	15
15	51.95	10.0.0.30	7089	16
16	56.06	10.0.0.30	7089	17
17	60.47	10.0.0.30	7089	18
18	65.2	10.0.0.30	7089	19
19	70.19	10.0.0.30	7089	20
20	75.17	10.0.0.30	7089	21
21	79.72	10.0.0.30	7089	22
22	86.99	10.0.0.30	7089	23
23	89.9	10.0.0.30	7089	24
24	92.49	10.0.0.30	7089	25
25	94.85	10.0.0.30	7089	26
26	97.03	10.0.0.30	7089	27
27	99.08	10.0.0.30	7089	28
28	101.03	10.0.0.30	7089	29
29	102.89	10.0.0.30	7089	30
30	104.68	10.0.0.30	7089	31
31	106.28	10.0.0.30	7089	32
32	105.73	10.0.0.30	7089	33
33	90.35	10.0.0.30	7089	34
34	79.42	10.0.0.30	7089	35
35	71.52	10.0.0.30	7089	36
36	65.15	10.0.0.30	7089	37
37	59.72	10.0.0.30	7089	38
38	54.97	10.0.0.30	7089	39
39	50.72	10.0.0.30	7089	40
40	46.85	10.0.0.30	7089	41
41	43.31	10.0.0.30	7089	42
42	40.02	10.0.0.30	7089	43
43	36.96	10.0.0.30	7089	44
44	34.08	10.0.0.30	7089	45
45	31.35	10.0.0.30	7089	46
46	28.76	10.0.0.30	7089	47
47	26.29	10.0.0.30	7089	48
48	23.92	10.0.0.31	7089	1
49	21.62	10.0.0.31	7089	2
50	19.4	10.0.0.31	7089	3
51	17.22	10.0.0.31	7089	4
52	15.07	10.0.0.31	7089	5
53	12.94	10.0.0.31	7089	6
54	10.79	10.0.0.31	7089	7
55	8.59	10.0.0.31	7089	8
